Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.2131805,110.7881775,109.4409637,111.0108337,109.2143021,110.8390503,111.3767166,114.251152,115.2115784,113.0916138,113.8017883,113.7942963,105.2558594,104.0871277,116.039299,117.1080933,,,,
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,31.36304092,32.23791885,32.53039932,32.88703156,33.44305038,34.55591965,35.62271118,36.51226044,38.05693817,,44.68560028,48.3848114,17.58789063,,22.4289608,24.41610909,26.37548065,,33.08660126,30.79291916,29.69897079,28.28223991,,30.63105965,42.35823059,45.38521957,,,32.67969894,26.50918961,21.87195015,21.72319984,71.64971161,96.89071655,108.4999008,101.4768372,104.9143906,101.78228,103.4005737,99.16368103,102.1638489,99.371521,105.0949783,105.9838715,107.3679276,107.2253571,,103.9236832,
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,54.10269928,58.93349838,61.12725067,66.88170624,,,,,,135.864563,118.8101578,109.6918793,98.18270111,85.32623291,67.57305908,72.95440674,73.56253815,73.21469879,74.34806824,71.16703033,65.53629303,63.16376877,,,,,,71.06162262,,,,,,,,,98.3860321,104.5102921,103.4279327,105.0545883,118.6517868,,,,113.3184586,,,
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,119.3481674,,115.0002365,112.2165527,107.5313873,105.06427,103.665947,102.7344589,103.6929016,103.9186325,103.8388519,101.7582779,99.90917969,99.78588104,99.82183075,101.6307907,99.96913147,98.9499588,101.9924698,104.5372925,106.8227234,108.5605774,107.712532,106.2702637,104.7166138,103.4736099,101.8980026,100.4633179,98.60388947,101.0934525,98.27056122,96.73818207,96.08397675,93.50647736,93.83547211,95.22042847,98.60221863,102.2680283,107.67276,109.7624435,109.7774124,110.1273575,
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,88.60502625,,,,,,,,114.375618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,66.81764984,66.91536713,68.44258881,69.66201019,69.98220825,71.30763245,73.04937744,73.900177,74.17803955,75.93283081,77.12716675,77.3115387,78.15116882,78.99268341,79.935112,79.87200165,80.69400787,81.76754761,82.36483765,82.13970947,82.84661102,83.31336212,80.75138092,81.30854797,83.79942322,82.5394516,84.73928833,85.34602356,85.96645355,87.16623688,87.99456024,89.03868866,90.43958282,91.65067291,92.28942108,92.9493866,94.15561676,94.84310913,95.70543671,96.30857086,96.49037933,95.73291016,97.17790985,95.71263885,95.15878296,95.96658325,95.55207825,96.03192902,
United Arab Emirates,ARE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,79.04112244,85.05029297,86.68031311,84.63131714,83.64486694,93.13365173,97.75495911,96.34493256,92.34906769,90.01017761,86.98345184,90.97966766,91.51719666,92.20459747,91.90293121,92.76650238,94.27232361,97.36956024,101.9764633,105.8495865,106.4434128,101.5610733,98.8632431,99.1427002,99.89160156,96.97933197,92.91673279,89.58151245,,,,,,,,,101.5375366,,,,,101.4537277,100.3631897,104.8940582,113.5465088,110.8716202,,
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,105.6495819,106.3788986,105.9416809,105.5297623,106.3110504,106.1638489,105.86026,106.7802887,106.3817368,106.8270493,106.8850708,107.6239777,107.776062,,105.5624237,105.4701538,106.0786514,106.36129,107.025177,,106.5615921,109.086853,,,111.9440613,,111.3694,108.2689819,112.948761,116.0535583,117.3634872,118.0676422,118.7619705,116.5033569,117.8140869,117.1332932,118.8387527,119.3526917,119.4441833,118.2131271,116.7195129,114.7731094,112.9795685,110.5595779,109.9731674,109.9262619,109.4845123,,
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3454971,101.1409912,104.5680008,96.50575256,92.42475128,93.27529907,126.9002304,129.1640472,133.5714874,98.66372681,102.1300507,95.37610626,94.20017242,94.9227066,95.44106293,100.1557999,113.2845993,114.5154495,110.8457108,99.06596375,98.4758606,98.93328857,98.40743256,96.71611786,94.77565765,94.34432983,94.16854858,
American Samoa,ASM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,76.68755341,93.53642273,,86.5832901,83.21161652,85.1607132,81.57285309,75.94946289,71.90579987,,,,,102.9454269,,,,,,,,88.33364868,,,97.4384613,,,,,114.8589096,,,,,,,95.84127045,95.76741028,93.68560791,94.04194641,91.41822052,88.72760773,,87.75016785,87.61084747,,87.645401,
Australia,AUS,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,110.8154907,110.2671967,109.6247177,104.877449,107.81707,108.7922287,110.8471222,111.9460297,111.507431,110.6659317,109.2817917,108.153717,106.7894135,106.0084915,104.4639511,104.9967422,105.3995667,106.0074615,106.1865921,105.8638916,105.5884171,105.4679184,105.3770218,105.3377609,100.8311996,101.1402969,100.7751236,100.5540085,100.3186722,100.4125137,100.3457413,101.2621613,101.4007416,102.0159607,102.5364609,103.1564713,105.1153717,105.1753387,105.4492569,105.8841095,106.0767288,106.4743195,106.5601883,106.0700378,102.2231903,101.3403015,100.9330826,
Austria,AUT,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,103.2957764,102.7606735,101.1519089,100.0466766,99.68579865,99.24749756,99.49436951,97.31034851,96.78340149,96.23175049,96.39433289,97.27445221,97.07679749,97.07763672,96.60671997,99.10385895,100.9327774,103.7616196,105.5552826,105.3017273,104.1205521,103.9096909,103.3115768,102.4130783,102.3650436,102.3969116,102.8261032,103.6303406,103.7848511,103.6723175,102.9474716,101.2514801,100.4638214,100.7213211,100.8326187,101.559288,101.6783905,100.7484894,100.2376175,99.8186264,99.73870087,100.5248337,101.0360336,101.3885727,101.8011017,102.2643585,103.9903488,
Azerbaijan,AZE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,112.8665619,,,,,120.9188614,,,114.4999466,114.6294174,113.9595108,112.5403976,111.2491837,113.0139313,113.2001266,93.50836182,94.54734039,92.87744141,95.48014069,97.20748901,98.86100006,98.34942627,96.21324158,97.26132965,95.52696991,94.21665955,94.77120209,94.07247162,95.068573,93.76229858,95.57363129,97.95530701,100.5004501,106.0598907,106.6014862,106.4317398,103.2940979,
Burundi,BDI,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,28.35281944,27.41132927,23.65698051,21.58124924,21.8246994,21.70730972,21.88799095,23.5248394,23.90028954,25.97853088,28.4558506,32.99055099,40.55144119,45.84643173,50.36766815,54.3796196,60.69937134,68.08016968,69.33011627,69.84590149,71.69605255,68.36328888,67.46942139,,50.57595825,39.41814041,40.74531937,48.58779907,57.46115875,59.2088089,62.02330017,67.02535248,72.6912384,77.80438995,82.44528198,104.5353088,116.6004486,124.1442795,133.0453949,139.3476563,143.9137115,142.7037048,140.3446503,137.8988495,134.1780396,130.9152832,126.1519012,
Belgium,BEL,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,108.4209824,107.2407379,101.2590637,103.5898132,103.8628922,104.6837234,104.9678268,104.8021088,104.076889,104.0397873,103.4817581,102.8406296,99.7097168,98.88648224,98.27522278,98.80319214,99.95233154,101.1880722,101.5594406,101.0585327,100.2859192,98.92967224,102.4577103,101.8241196,101.7954102,102.0151825,,,103.8236237,104.8344193,104.076561,103.1672287,102.3609085,100.800209,100.4623413,100.7341919,101.5336609,102.1567078,102.1269913,101.9239578,101.9468002,102.2601318,103.8259201,103.647789,103.1529617,103.3177719,,
